Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
10471;;AMPOL H/S STRAPPING 48X5M;R 42.50;
10472;;MASKING TAPE 18MM;R 13.50;
10473;;MASKING TAPE 24MM;R 18.00;
10474;;MASKING TAPE 36MM;R 27.00;
10475;;MASKING TAPE 48MM;R 36.00;
10477;;AMPOL 725 N/SLIP SAFETY 25X1M;R 46.00;
10480;6002814265822;BRUSH - WIRE 26582 S/L STEEL;R 65.00;
10483;;KK MG106INBL GEORGIAN PLATE;R 174.10;
10485;;BIRD FEEDER WOODEN;R 150.00;
10486;6004709161004;SIKA RAINTITE GREY KIT 5LT;R 172.50;
10487;;WOODOC 25 20LT;R 2,328.00;
10488;;DEK QD KHAKI GREEN 5LT;R 421.50;
1049;;PROSTRUCT 529 S/CONCRETE 25KG;R 555.00;
10517;;SPRAYGUN D/V NEEDLE PACKING(OH;R 77.00;
10525;;DEK QD NPB GREEN 5LT;R 421.50;
10545;;WOODOC 35 MERANTI 1LT;R 169.00;
10546;6004215001153;GEN BIT & GLUE REMOVER 5LT;R 447.00;
10547;;NAA DARK MAHOGONY P/S 25LT;R 841.50;
10548;6002065009817;ABE ROCK BITUMEN 12.5KG;R 730.50;
10555;6007560007870;GEN NOVA 18 OREGON 500ML;R 68.50;
10567;;NAA DARK MAHOGONY P/S 5LT;R 264.80;
10573;;DISC SEMI-FLEX 16SIC 115X22;R 71.50;
10577;;ALN UTILITY CORD 3MMX10MT;R 11.00;
10582;;D/B ACRYLIC SEALANT WHITE 280M;R 26.00;
10591;;LS BODYFILLER MICROLITE 1KG;R 99.00;
10593;;BATTERY - PENLITE AA2;R 33.00;
10594;;BATTERY - MINIPEN AAA2;R 35.00;
10595;;BATTERY - MED. TORCH C2;R 40.80;
10601;;CHAIN - BALL NO6-BR 3.2MM;R 10.70;
10618;6003064000683;DURAM NS4 GREEN 5LT;R 496.00;
10619;6003064000676;DURAM NS4 GREEN 1LT;R 127.50;
10620;6003064000669;DURAM NS4 GREEN 500ML;R 78.00;
10621;;T/L MULTI FUNCTION KNIFE;R 73.00;
10622;;SASH HANDLE 102MM CP;R 18.30;
10623;6004215002068;GEN BIT & GLUE REMOVER 1LT;R 140.00;
10625;;MAT - RUBBER BRUSH 700X460M;R 104.00;
10626;;MAT - COIR NATURAL 600X400 18M;R 115.00;
10627;;MAT - DIRT TRAPPER 900X600MM;R 458.00;
10670;6005721023400;RUW 6M WOOD BRAD DRILLBIT;R 25.00;
10671;6005721023417;RUW 8M WOOD BRAD DRILLBIT;R 29.50;
10673;6005721023349;RUW 12M WOOD/BRAD DRILLBIT;R 40.00;
10675;;RACO HOSE CONNECT/1/2 55205C;R 42.00;
10684;;RUW 5.5M MAS DRILLBIT;R 6.00;
10685;;MAT - RHINO TYRE 640X380MM;R 181.00;
10786;6005721022755;RUW 18M WOOD FLAT DRILLBIT;R 33.50;
1079;;PROSTRUCT 723 WHITE 5LT;R 775.00;
10814;;MTS SHOE KNIFE W/HANDLE 100MM BLADE;R 44.50;
10815;;BRUMMER W/F PINE 500GM;R 23.00;
10816;;BRUMMER W/F LIGHT OAK 500GM;R 23.00;
10817;;BRUMMER W/F MERANTI 500GM;R 23.00;
10818;;BRUMMER W/F TEAK 500GM;R 23.00;
10819;;BRUMMER W/F WHITE 500GM;R 23.00;
10831;6009600992245;POWAFIX TEAK OIL 5LT;R 205.00;
10838;6004215000569;GEN MOULD STOP 500ML;R 56.50;
10898;6005721018963;RUW 12M METAL INDUST DRILLBIT;R 141.00;
10900;;RUW PLIER 130MM DIAGONAL;R 63.10;
10911;;MTS BLADE DIAM SEGMENTED 115MM;R 59.50;
10913;;WORKBENCH - PORTABLE (CONS) (W;R 265.39;
1092;;M/M VELCRO BACKING PAD 150MM;R 95.00;
10949;;D/B ZINC ALU.SPRAY 400ML;R 84.50;
10951;6007560003902;GEN TIMBER & WOODBLOCK 5LT;R 294.50;
10954;6004765118608;BRUSH - RENOVATOR ROOF 140MM;R 148.00;
10961;6005721091089;RUW 8MM GLASS DRILLBIT;R 75.00;
10962;6005721091096;RUW 10M GLASS DRILLBIT;R 81.50;
10969;;KK MV111IMSBL BAROQUE ON PLATE;R 146.60;
10974;6008558027931;DEK COL L/F M/YELLOW XATLF 1LT;R 892.00;
10975;6008558024923;DEK COL L/F B/YELLOW XALF 1LT;R 867.50;
10977;6008558024916;DEK COL IN/BRIGHT YELLOW XA 1L;R 457.00;
10979;6008558024954;DEK COL BLACK XB 1LT;R 165.00;
10981;6008558024961;DEK COL YELLOW OXIDE XC 1LT;R 201.50;
10983;6008558024978;DEK COL PTHALO GREEN XD 1LT;R 250.50;
10984;6008558025111;DEK COL PTHALO BLUE XBPE 1LT;R 595.20;
10985;6008558024985;DEK COL PTHALO BLUE XE 1LT;R 212.50;
10987;6008558024992;DEK COL RED OXIDE XF 1LT;R 269.50;
10989;6008558025005;DEK COL L/F BR/ORANGE XG 1L;R 668.00;
10993;6008558025029;DEK COL PERM BRIGHT RED XHP 1L;R 410.50;
10994;;T/L TILE BLADE KIT 4PC DIA/CER;R 163.30;
10997;6008558025043;DEK COL VIOLET XJ 1LT;R 236.00;
10999;6008558025067;DEK COL RAW UMBER XL 1LT;R 185.00;
11000;;PT PLIER COMB 200MM N/PL/D/FOR;R 80.50;
11001;6008558025074;DEK COL MAGENTA XM 1LT;R 445.00;
11003;6008558025050;DEK COL WHITE XK 1LT;R 294.50;
11005;6008558024947;DEK COL INTER/YELLOW XAT 1LT;R 447.50;
11006;;T/L MULTI-TOOL H/DUTY 7 IN 1;R 238.00;
11007;6008558025128;DEK COL BRIGHT RED XBPH 1LT;R 665.00;
11008;;T/L HAMMER CLAW 500GR WOOD/HND;R 53.00;
11009;6008558025081;DEK COL BRIGHT YELLOW XBPA 1LT;R 583.00;
11010;;MTS ELEC MULTIPLUG 7WAY 4X16;R 94.30;
11011;;MTS EURO ADAPTOR 1X16-2X5L;R 19.20;
