Stock Code;Bar Code;Stock Description;Count
10671;6005721023417;RUW 8M WOOD BRAD DRILLBIT;
10673;6005721023349;RUW 12M WOOD/BRAD DRILLBIT;
10675;;RACO HOSE CONNECT/1/2 55205C;
10684;;RUW 5.5M MAS DRILLBIT;
10685;;MAT - RHINO TYRE 640X380MM;
10786;6005721022755;RUW 18M WOOD FLAT DRILLBIT;
1079;;PROSTRUCT 723 WHITE 5LT;
10814;;MTS SHOE KNIFE W/HANDLE 100MM BLADE;
10815;;BRUMMER W/F PINE 500GM;
10816;;BRUMMER W/F LIGHT OAK 500GM;
10817;;BRUMMER W/F MERANTI 500GM;
10818;;BRUMMER W/F TEAK 500GM;
10819;;BRUMMER W/F WHITE 500GM;
10831;6009600992245;POWAFIX TEAK OIL 5LT;
10838;6004215000569;GEN MOULD STOP 500ML;
10898;6005721018963;RUW 12M METAL INDUST DRILLBIT;
10900;;RUW PLIER 130MM DIAGONAL;
10911;;MTS BLADE DIAM SEGMENTED 115MM;
10913;;WORKBENCH - PORTABLE (CONS) (W;
1092;;M/M VELCRO BACKING PAD 150MM;
10949;;D/B ZINC ALU.SPRAY 400ML;
10951;6007560003902;GEN TIMBER & WOODBLOCK 5LT;
10954;6004765118608;BRUSH - RENOVATOR ROOF 140MM;
10961;6005721091089;RUW 8MM GLASS DRILLBIT;
10962;6005721091096;RUW 10M GLASS DRILLBIT;
10969;;KK MV111IMSBL BAROQUE ON PLATE;
10974;6008558027931;DEK COL L/F M/YELLOW XATLF 1LT;
10975;6008558024923;DEK COL L/F B/YELLOW XALF 1LT;
10977;6008558024916;DEK COL IN/BRIGHT YELLOW XA 1L;
10979;6008558024954;DEK COL BLACK XB 1LT;
10981;6008558024961;DEK COL YELLOW OXIDE XC 1LT;
10983;6008558024978;DEK COL PTHALO GREEN XD 1LT;
10984;6008558025111;DEK COL PTHALO BLUE XBPE 1LT;
10985;6008558024985;DEK COL PTHALO BLUE XE 1LT;
10987;6008558024992;DEK COL RED OXIDE XF 1LT;
10989;6008558025005;DEK COL L/F BR/ORANGE XG 1L;
10993;6008558025029;DEK COL PERM BRIGHT RED XHP 1L;
10994;;T/L TILE BLADE KIT 4PC DIA/CER;
10997;6008558025043;DEK COL VIOLET XJ 1LT;
10999;6008558025067;DEK COL RAW UMBER XL 1LT;
11000;;PT PLIER COMB 200MM N/PL/D/FOR;
11001;6008558025074;DEK COL MAGENTA XM 1LT;
11003;6008558025050;DEK COL WHITE XK 1LT;
11005;6008558024947;DEK COL INTER/YELLOW XAT 1LT;
11006;;T/L MULTI-TOOL H/DUTY 7 IN 1;
11007;6008558025128;DEK COL BRIGHT RED XBPH 1LT;
11008;;T/L HAMMER CLAW 500GR WOOD/HND;
11009;6008558025081;DEK COL BRIGHT YELLOW XBPA 1LT;
11010;;MTS ELEC MULTIPLUG 7WAY 4X16;
11011;;MTS EURO ADAPTOR 1X16-2X5L;
11012;;T/C KNIFE SHARPENER WITH TUNGS;
11013;6009675086696;T/C HEX KEY SET 10PC 1.5-10MM;
11015;;T/C HOSE REPAIR KIT 8MM;
11019;;POLYCORD 15MM - MT;
11020;;POLYCORD 25MM - MT;
11021;6005721004584;RUW SCREWDRIVER PH/ACE PH0X60;
11027;;T/L MINI MULTI-TOOL SET 2PC;
11028;;POLYCORD 6MM - MT;
11031;;DISC RAZOR A46T 115/1/22;
11033;6004215002761;GEN HYDROSEAL 1LT;
11037;6004596001025;DURAM DURAPOND BLUE 1LT;
11040;6005721022779;RUW 20M WOOD FLAT DRILLBIT;
11042;;T/L PLIER SET 2PC S/LESS STEEL;
11044;;POLYCORD 8MM - MT;
11045;;POLYCORD 10MM - MT;
11046;;POLYCORD 20MM - MT;
11050;;ELECT BULKHEAD POLYCARBONATE;
11052;;L/C GLOBE 100W B22 CLEAR;
11053;;L/C GLOBE 40W E27 FROST/CANDLE;
11067;;APPLE/PEARTISER 340ML;
11070;;PT SILICONE STRIPPER 90ML;
11078;6004709003007;SIKA CEMFLEX 5LT;
11080;;MAT - COIR 800X500MM 18MM;
11082;;MAT - STEEL 750X450MM;
11099;;WIRE BRUSH CUP 65MM M14X2 ZEL;
11100;;DEK QD MEDIUM BASE 20LT;
11107;6004596002763;DURAM XYLENE 1LT;
11110;;WEBCO TAPE - 8MT;
11111;;T/L MULTI-TOOL WITH LED;
11132;;ROLLER HANDLE 50-70MM (F5904);
11137;;ZEL G CLAMP 200MM;
11139;;T/L HACKSAW FRAME PROFESSIONAL;
11148;6001563671502;GEN FILLA FOAM 500ML;
11159;6003173000826;H/R SOLVENT 1LT;
11161;;MTS TOOLBOX CANTI 5TIER;
11166;;WEBCO CHISEL 32MM;
11169;;SCRAPER - PROF 75MM MARSHAL;
11184;6005721006687;RUW 12M INDUST/CONC DRILLBIT;
11185;6005721006694;RUW 14M IND/CONC DRILLBIT;
11187;6005721020003;RUW 13MM INDUST/CONC DRILLBIT;
11190;;LAMBSWOOL REFILL 225MM (H);
11192;6001062022799;DX TRADE PEARLGLO SB WHITE 1LT;
11202;6004765118202;BRUSH - RENOVATOR W/PROOF 120M;
11213;;C/S HW RETARDER THINNERS 25LT;
11219;6005721029662;RUW 13X400M CONC LNG DRILLBIT;
11220;6005721019793;RUW 11M INDUST/CONC DRILLBIT;
11222;;MTS BLADE DIAM CONTINUOUS 115M;
11225;;CURTAIN KNOBS NAT.LARGE FLAT;
11286;6004215000057;GEN URO SEAL 800ML;
11287;;ALN OUTDOOR BRAID 8MMX30MT;
11306;;MTS TROWEL POINT W/HNDL 150MM;
11309;;KK ALABAMA ON PLATE AL2306SNBL;
11314;;KK SAT/NICK ON PLATE 8527/BRNB;
11323;;T/L MINI MULTI-TOOL HAMMER;
11324;;SPRAYGUN D/V FLUID TIP (OH);
11327;;ALN OUTDOOR BRAID 8MMX10M;
11330;;RUW 6X200M IND/CON LONG;
11331;;RUW 8X200M IND/CON LONG;
11332;6005721023387;RUW 4M WOOD BRAD DRILLBIT;
11333;6005721018734;RUW 1.5M METAL INDUST DRILLBIT;
11334;6005721018741;RUW 2MM METAL INDUST DRILLBIT;
11335;6005721018765;RUW 3M METAL INDUST DRILLBIT;
11336;6005721018772;RUW 3.2M METAL INDUST DRILLBIT;
11337;6005721024353;RUW 4.8M METAL INDUST DRILLBIT;
11338;6005721029594;RUW 12X400M IND/CON LNG DRILLB;
11339;;RUW 10X200M INDUS/CONC LONG;
11340;6005721018987;RUW 13M METAL INDUST DRILLBIT;
11341;6005721097821;RUW ORBITAL RANDOM 115 P60;
11367;;KK BRASS NUMBERS 75MM;
11419;6005721006595;RUW 3M IND/CON DRILLBIT;
11420;6005721019731;RUW 3.5M IND/CON DRILLBIT;
11421;6005721023660;RUW 15M INDUST/CON DRILLBIT;
11422;6005721006700;RUW 16M IND/CON DRILLBIT 51600;
11423;6005721029587;RUW 10X400 INDUST/CONC LONG;
11424;6005721024674;RUW 14X400M IND/CON/LNG D/BIT;
11425;;RUW 16X400M CON/LNG DRILLBIT;
11457;;MTS BLADE DIAM CONTINUOUS 230M;
11458;;MTS BLADE DIAM TURBO MARB 230M;
11463;;ELECT EAGLE PULL SWITCH FLOUR.;
